country,year,cpi,internet_users,journalists_killed
Afghanistan,2012,8.0,5.45,0.0
Afghanistan,2013,8.0,5.9,0.0
Afghanistan,2014,12.0,7.0,3.0
Afghanistan,2015,11.0,8.26,0.0
Afghanistan,2016,15.0,10.6,4.0
Bahrain,2012,51.0,88.0,1.0
Bahrain,2013,48.0,90.0,0.0
Bahrain,2014,49.0,90.5,0.0
Bahrain,2015,51.0,93.5,0.0
Bahrain,2016,43.0,98.0,0.0
Bangladesh,2012,26.0,5.0,1.0
Bangladesh,2013,27.0,6.63,1.0
Bangladesh,2014,25.0,13.9,1.0
Bangladesh,2015,25.0,14.4,5.0
Bangladesh,2016,26.0,18.2,0.0
Brazil,2012,43.0,48.6,4.0
Brazil,2013,42.0,51.0,4.0
Brazil,2014,43.0,54.6,3.0
Brazil,2015,38.0,58.3,6.0
Brazil,2016,40.0,60.9,1.0
Cambodia,2012,22.0,4.94,1.0
Cambodia,2013,20.0,6.8,0.0
Cambodia,2014,21.0,14.0,0.0
Cambodia,2015,21.0,22.3,0.0
Cambodia,2016,21.0,32.4,0.0
Central African Republic,2012,26.0,3.0,0.0
Central African Republic,2013,25.0,3.4,0.0
Central African Republic,2014,24.0,3.6,1.0
Central African Republic,2015,24.0,3.8,0.0
Central African Republic,2016,20.0,4.0,0.0
Colombia,2012,36.0,49.0,1.0
Colombia,2013,36.0,51.7,1.0
Colombia,2014,37.0,52.6,0.0
Colombia,2015,37.0,55.9,2.0
Colombia,2016,37.0,58.1,0.0
"Congo, Dem. Rep.",2012,21.0,1.68,0.0
"Congo, Dem. Rep.",2013,22.0,2.2,0.0
"Congo, Dem. Rep.",2014,22.0,3.0,1.0
"Congo, Dem. Rep.",2015,22.0,3.8,1.0
"Congo, Dem. Rep.",2016,21.0,6.21,0.0
Ecuador,2012,32.0,35.1,1.0
Ecuador,2013,35.0,40.3,0.0
Ecuador,2014,33.0,45.6,0.0
Ecuador,2015,32.0,48.9,0.0
Ecuador,2016,31.0,54.1,0.0
Egypt,2012,32.0,26.4,1.0
Egypt,2013,32.0,29.4,7.0
Egypt,2014,37.0,33.9,1.0
Egypt,2015,36.0,37.8,0.0
Egypt,2016,34.0,41.2,0.0
France,2012,71.0,81.4,0.0
France,2013,71.0,81.9,0.0
France,2014,69.0,83.8,0.0
France,2015,70.0,78.0,9.0
France,2016,69.0,79.3,0.0
Ghana,2012,45.0,10.6,0.0
Ghana,2013,46.0,15.0,0.0
Ghana,2014,48.0,25.5,0.0
Ghana,2015,47.0,31.4,1.0
Ghana,2016,43.0,34.7,0.0
Guatemala,2012,33.0,16.0,0.0
Guatemala,2013,29.0,19.7,0.0
Guatemala,2014,32.0,23.4,0.0
Guatemala,2015,28.0,28.8,1.0
Guatemala,2016,28.0,34.5,0.0
Guinea,2012,24.0,3.1,0.0
Guinea,2013,24.0,4.5,0.0
Guinea,2014,25.0,6.4,1.0
Guinea,2015,25.0,8.2,0.0
Guinea,2016,27.0,9.8,1.0
India,2012,36.0,12.6,2.0
India,2013,36.0,15.1,4.0
India,2014,38.0,21.0,2.0
India,2015,38.0,26.0,1.0
India,2016,40.0,29.5,2.0
Indonesia,2012,32.0,14.5,1.0
Indonesia,2013,32.0,14.9,0.0
Indonesia,2014,34.0,17.1,0.0
Indonesia,2015,36.0,22.0,0.0
Indonesia,2016,37.0,25.4,0.0
Iran,2012,28.0,22.7,1.0
Iran,2013,25.0,29.9,0.0
Iran,2014,27.0,39.4,0.0
Iran,2015,27.0,45.3,0.0
Iran,2016,29.0,53.2,0.0
Iraq,2012,18.0,7.1,0.0
Iraq,2013,16.0,9.2,10.0
Iraq,2014,16.0,13.2,5.0
Iraq,2015,16.0,17.2,6.0
Iraq,2016,17.0,21.2,6.0
Kenya,2012,27.0,10.5,0.0
Kenya,2013,27.0,13.0,0.0
Kenya,2014,25.0,16.5,0.0
Kenya,2015,25.0,16.6,1.0
Kenya,2016,26.0,16.6,0.0
Lebanon,2012,30.0,61.2,1.0
Lebanon,2013,28.0,70.5,0.0
Lebanon,2014,27.0,73.0,0.0
Lebanon,2015,28.0,74.0,0.0
Lebanon,2016,28.0,76.1,0.0
Libya,2012,21.0,0.0,0.0
Libya,2013,15.0,16.5,1.0
Libya,2014,18.0,17.8,1.0
Libya,2015,16.0,19.0,1.0
Libya,2016,14.0,20.3,3.0
Mali,2012,34.0,2.8,0.0
Mali,2013,28.0,3.5,2.0
Mali,2014,32.0,7.0,0.0
Mali,2015,35.0,10.3,0.0
Mali,2016,32.0,11.1,0.0
Mexico,2012,34.0,39.8,2.0
Mexico,2013,34.0,43.5,0.0
Mexico,2014,35.0,44.4,2.0
Mexico,2015,31.0,57.4,4.0
Mexico,2016,30.0,59.5,2.0
Myanmar,2012,15.0,4.0,0.0
Myanmar,2013,21.0,8.0,0.0
Myanmar,2014,21.0,11.5,1.0
Myanmar,2015,22.0,21.7,0.0
Myanmar,2016,28.0,25.1,1.0
Nigeria,2012,27.0,16.1,1.0
Nigeria,2013,25.0,19.1,0.0
Nigeria,2014,27.0,21.0,0.0
Nigeria,2015,26.0,24.5,0.0
Nigeria,2016,28.0,25.7,0.0
Pakistan,2012,27.0,9.96,7.0
Pakistan,2013,28.0,10.9,5.0
Pakistan,2014,29.0,12.0,3.0
Pakistan,2015,30.0,14.0,1.0
Pakistan,2016,32.0,15.5,2.0
Paraguay,2012,25.0,29.3,0.0
Paraguay,2013,24.0,36.9,0.0
Paraguay,2014,24.0,43.0,3.0
Paraguay,2015,27.0,49.7,0.0
Paraguay,2016,30.0,53.4,0.0
Philippines,2012,34.0,36.2,1.0
Philippines,2013,36.0,48.1,3.0
Philippines,2014,38.0,49.6,1.0
Philippines,2015,35.0,53.7,0.0
Philippines,2016,35.0,55.5,1.0
Poland,2012,58.0,62.3,0.0
Poland,2013,60.0,62.8,0.0
Poland,2014,61.0,66.6,0.0
Poland,2015,63.0,68.0,1.0
Poland,2016,62.0,73.3,0.0
Russia,2012,28.0,63.8,1.0
Russia,2013,28.0,68.0,2.0
Russia,2014,27.0,70.5,0.0
Russia,2015,29.0,70.1,0.0
Russia,2016,29.0,73.1,0.0
Somalia,2012,8.0,1.38,12.0
Somalia,2013,8.0,1.5,4.0
Somalia,2014,8.0,1.63,4.0
Somalia,2015,8.0,1.76,3.0
Somalia,2016,10.0,1.88,3.0
South Africa,2012,43.0,41.0,0.0
South Africa,2013,42.0,46.5,0.0
South Africa,2014,44.0,49.0,1.0
South Africa,2015,44.0,51.9,0.0
South Africa,2016,45.0,54.0,0.0
South Sudan,2012,0.0,0.0,0.0
South Sudan,2013,14.0,3.83,0.0
South Sudan,2014,15.0,4.52,0.0
South Sudan,2015,15.0,5.5,5.0
South Sudan,2016,11.0,6.68,0.0
Syria,2012,26.0,24.3,31.0
Syria,2013,17.0,26.2,29.0
Syria,2014,20.0,28.1,17.0
Syria,2015,18.0,30.0,14.0
Syria,2016,13.0,31.9,15.0
Tanzania,2012,35.0,3.95,1.0
Tanzania,2013,33.0,4.4,0.0
Tanzania,2014,31.0,7.0,0.0
Tanzania,2015,30.0,10.0,0.0
Tanzania,2016,32.0,13.0,0.0
Thailand,2012,37.0,26.5,1.0
Thailand,2013,35.0,28.9,0.0
Thailand,2014,38.0,34.9,0.0
Thailand,2015,38.0,39.3,0.0
Thailand,2016,35.0,47.5,0.0
Turkey,2012,49.0,45.1,0.0
Turkey,2013,50.0,46.3,0.0
Turkey,2014,45.0,51.0,0.0
Turkey,2015,42.0,53.7,3.0
Turkey,2016,41.0,58.3,2.0
Ukraine,2012,26.0,35.3,0.0
Ukraine,2013,25.0,41.0,0.0
Ukraine,2014,26.0,46.2,5.0
Ukraine,2015,27.0,48.9,1.0
Ukraine,2016,29.0,53.0,1.0
United States,2012,73.0,74.7,0.0
United States,2013,73.0,71.4,0.0
United States,2014,74.0,73.0,0.0
United States,2015,76.0,74.6,2.0
United States,2016,74.0,76.2,0.0
Yemen,2012,23.0,17.4,0.0
Yemen,2013,18.0,20.0,0.0
Yemen,2014,19.0,22.6,1.0
Yemen,2015,18.0,24.1,5.0
Yemen,2016,14.0,24.6,6.0
