country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,1,,,,1,,,9,,,,,3,2,2,2,2,2,,,3,,4,4,13
Algeria,1,8,18,24,7,,,,,2,,,,,,,,,,,,,,,,,
Angola,1,3,1,1,1,,1,,,,,,,,,,,,2,,,,,,,,
Argentina,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
Azerbaijan,1,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
Bangladesh,,,,,1,,1,,2,1,2,,3,2,,,,,,,1,1,1,5,,1,
Belarus,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
Bolivia,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
Bosnia and Herzegovina,8,5,6,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,1,4,,1,2,,1,,2,2,2,1,,1,,,1,3,4,4,3,6,1,1,2
Burkina Faso,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Burundi,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,3,,1,2,,,,,,1,,,,,1,,,,1,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Canada,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,1,,,,3
China,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Colombia,1,4,1,3,1,4,4,5,3,3,3,5,1,2,2,,,1,1,,1,1,,2,,1,2
"Congo, Dem. Rep.",,,2,,,,,,,,,,,,,1,,,,,,,1,1,,,
"Congo, Rep.",,,,,,,1,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,
Croatia,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,
Cyprus,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Dominican Republic,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,
